Apical cell membrane,Basal cell membrane,Basolateral cell membrane,Cajal body,Cell junction,Cell membrane,Cell projection,Cell surface,Chromosome,Cleavage furrow,Cytoplasm,Cytoplasmic granule,Cytoplasmic side,Cytoplasmic vesicle,Cytoplasmic vesicle lumen,Cytoplasmic vesicle membrane,Early endosome,Early endosome membrane,Endomembrane system,Endoplasmic reticulum,Endoplasmic reticulum lumen,Endoplasmic reticulum membrane,Endoplasmic reticulum-Golgi intermediate compartment,Endosome,Endosome membrane,Extracellular side,GPI-anchor,Golgi apparatus,Golgi apparatus lumen,Golgi apparatus membrane,Golgi stack membrane,Inflammasome,Late endosome membrane,Lipid droplet,Lipid-anchor,Lumenal side,Lysosome,Lysosome lumen,Lysosome membrane,M line,Melanosome,Melanosome membrane,Membrane,Membrane raft,Microsome,Microsome membrane,Midbody,Mitochondrion,Mitochondrion inner membrane,Mitochondrion intermembrane space,Mitochondrion matrix,Mitochondrion membrane,Mitochondrion outer membrane,Multi-pass membrane protein,Myelin membrane,Nucleus,Nucleus envelope,Nucleus inner membrane,Nucleus intermembrane space,Nucleus matrix,Nucleus membrane,Nucleus outer membrane,Nucleus speckle,P-body,PML body,Perikaryon,Peripheral membrane protein,Peroxisome,Peroxisome matrix,Peroxisome membrane,Photoreceptor inner segment,Postsynapse,Postsynaptic cell membrane,Postsynaptic density,Presynapse,Presynaptic active zone,Presynaptic cell membrane,Recycling endosome membrane,Rough endoplasmic reticulum,Secreted,Single-pass membrane protein,Single-pass type I membrane protein,Single-pass type II membrane protein,Single-pass type III membrane protein,Single-pass type IV membrane protein,Stress granule,Synapse,Z line,Zymogen granule membrane,acrosome,adherens junction,autophagosome membrane,axon,basement membrane,caveola,centriolar satellite,centriole,centromere,centrosome,chromaffin granule,chromaffin granule lumen,chromaffin granule membrane,cilium,cilium basal body,clathrin-coated pit,clathrin-coated vesicle,cytoskeleton,cytosol,dendrite,dendritic spine,extracellular exosome,extracellular matrix,extracellular space,flagellum membrane,focal adhesion,growth cone,invadopodium membrane,lamellipodium,lamellipodium membrane,microneme membrane,microtubule organizing center,microvillus membrane,mitochondrion nucleoid,multivesicular body membrane,myofibril,neuron projection,nucleolus,nucleoplasm,perinuclear region,photoreceptor outer segment,ruffle membrane,sarcolemma,sarcomere,sarcoplasm,secretory vesicle,secretory vesicle lumen,secretory vesicle membrane,spindle,stress fiber,synaptic vesicle membrane,synaptosome,telomere,trans-Golgi network membrane
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
